,0
596,0.14889291
597,0.053097047
598,0.008125227
599,0.40091798
600,0.13027556
601,0.19189525
602,0.36136276
603,0.34709808
604,0.32614926
605,0.20180461
606,0.0066817254
607,0.002219811
608,0.31288114
609,0.16560706
610,0.35710022
611,0.4004135
612,0.045405187
613,0.0005986728
614,0.3119397
615,0.15985192
616,0.1658179
617,0.3615242
618,0.18483311
619,0.036563985
620,0.19964717
621,0.01894017
622,0.33322933
623,0.11881508
624,0.028105035
625,0.3939785
626,0.4108928
627,0.07357327
628,0.11485207
629,0.12766038
630,0.013153826
631,0.3399951
632,0.08957781
633,0.36138025
634,0.032219674
635,0.19580288
636,0.17209071
637,0.00735393
638,0.015321885
639,0.14929165
640,0.14598876
641,0.2062944
642,0.08376795
643,0.34595135
644,0.31776738
645,0.15866746
646,0.17814879
647,0.26529124
648,0.3827789
649,0.15514666
650,0.27018246
651,0.34460524
652,0.335885
653,0.17020859
654,0.3393015
655,0.2879652
656,0.194177
657,0.0053127427
658,0.1939871
659,0.11345495
660,0.25049344
661,0.15667751
662,0.0074872784
663,0.017223403
664,0.17880186
665,0.06426143
666,0.17355938
667,0.20805436
668,0.2526375
669,0.06617768
670,0.33154684
671,0.053239487
672,0.12141594
673,0.09684537
674,0.20077918
675,0.3113299
676,0.22963053
677,0.37509167
678,0.008856993
679,0.055093233
680,0.11993621
681,0.21354724
682,0.21369588
683,0.025126142
684,0.29345563
685,0.048772335
686,0.036630683
687,0.06920941
688,0.11576377
689,0.23210424
690,0.2089644
691,0.38183105
692,0.26767713
693,0.3528411
694,0.23950721
695,0.4665163
696,0.37152755
697,0.394275
698,0.017261434
699,0.34128883
700,0.08173868
701,0.3841068
702,0.17247915
703,0.15021071
704,0.29638627
705,0.20220573
706,0.13911557
707,0.18304768
708,0.16302471
709,0.10075192
710,0.2277756
711,0.16458066
712,0.23439361
713,0.079075135
714,0.08489792
715,0.1478787
716,0.22687492
717,0.05634073
718,0.080362454
719,0.4296631
720,0.30894926
721,0.28129464
722,0.09880832
723,0.0068481714
724,0.19827737
725,0.18238927
726,0.36169562
727,0.23522791
728,0.1586386
729,0.324814
730,0.24829248
731,0.0388195
732,0.33070904
733,0.18350166
734,0.20787962
735,0.31495273
736,0.03926398
737,0.3228226
738,0.34080878
739,0.3613681
740,0.4631086
741,0.36392847
742,0.2782822
743,0.004587967
744,0.2579211
745,0.18345687
746,0.24571802
747,0.3640259
748,0.31646588
749,0.28416824
750,0.066902846
751,0.24194008
752,0.23304427
753,0.15684271
754,0.046302617
755,0.12175414
756,0.2651901
757,0.16239706
758,0.011200685
759,0.0068104845
760,0.14939989
761,0.37394357
762,0.35172698
763,0.107168555
764,0.009350392
765,0.34277853
766,0.2152207
767,0.15559939
768,0.07133457
769,0.014731339
770,0.4035158
771,0.24049218
772,0.36051288
773,0.31569287
774,0.3399952
775,0.1196693
776,0.1530129
777,0.24221475
778,0.23232156
779,0.13323326
780,0.23682222
781,0.22661883
782,0.25669342
783,0.17327708
784,0.04762134
785,0.44779184
786,0.2757711
787,0.050640963
788,0.44710806
789,0.058808897
790,0.402579
791,0.21131815
792,0.08735159
793,0.21466182
794,0.2153468
795,0.3114955
796,0.13821383
797,0.0781441
798,0.1616043
799,0.10820623
800,0.12572673
801,0.24996892
802,0.35981444
803,0.053242423
804,0.1256306
805,0.39437944
806,0.3709051
807,0.22698164
808,0.19850846
809,0.38300923
810,0.11215247
811,0.05923423
812,0.22486374
813,0.10988216
814,0.23356368
815,0.012858799
816,0.07738288
817,0.029377352
818,0.21215491
819,0.09330246
820,0.15594852
821,0.2485802
822,0.069949925
823,0.20419873
824,0.033866327
825,0.41658804
826,0.2664006
827,0.28186804
828,0.07941507
829,0.12679367
830,0.071017124
831,0.36852044
832,0.08156953
833,0.2285724
834,0.29772592
835,0.34720558
836,0.20420292
837,0.23494866
838,0.16409868
839,0.30542356
840,0.0065454114
841,0.27308306
842,0.027701762
843,0.14525995
844,0.3300838
845,0.39275756
846,0.19957097
847,0.29280555
848,0.006881401
849,0.21343319
850,0.24893412
851,0.019202258
852,0.21833374
853,0.2808859
854,0.1619252
855,0.014708967
856,0.075058
857,0.02089776
858,0.14534485
859,0.16099837
860,0.26792297
861,0.16576241
862,0.32605466
863,0.17461292
864,0.039840624
865,0.08257754
866,0.38725334
867,0.21852167
868,0.004960183
869,0.1424744
870,0.13462694
871,0.22548197
872,0.09243257
873,0.1252469
874,0.05277417
875,0.023292324
876,0.19133103
877,0.38282225
878,0.09657687
879,0.42605707
880,0.008313285
881,0.0059155785
882,0.073070556
883,0.22891364
884,0.28623524
