,0
149,2.1169705
150,2.683013
151,7.6290736
152,2.2157884
153,2.4914877
154,5.251667
155,2.6569862
156,57.867023
157,2.789237
158,1.9085709
159,10.623779
160,2.7286243
161,5.933658
162,8.442112
163,1.8156023
164,3.2423158
165,4.4703445
166,2.7713342
167,18.601217
168,2.665608
169,5.429698
170,3.5699782
171,3.596868
172,22.574495
173,5.288564
174,31.599575
175,1.4014316
176,3.9896908
177,7.931421
178,44.068485
179,4.140143
180,4.106735
181,2.6991858
182,7.6320677
183,35.91904
184,2.019546
185,3.287118
186,6.8073
187,4.5709085
188,4.432126
189,5.893205
190,6.088755
191,4.466812
192,4.3063254
193,13.335195
194,15.218274
195,2.4379444
196,3.4800282
197,4.412294
198,2.0949144
199,3.4877648
200,15.694063
201,5.084906
202,18.828156
203,2.2452462
204,2.1170988
205,2.3294296
206,6.4748554
207,3.6602712
208,16.484148
209,17.51336
210,5.4145813
211,10.515425
212,1.9138545
213,6.0129795
214,40.52316
215,5.0638266
216,3.258842
217,2.6443062
218,14.962592
219,5.304443
220,6.4731283
221,2.3311949
222,12.673651
223,3.340177
224,3.167994
225,4.9255595
226,31.489195
227,4.788679
228,4.1561832
229,14.640535
230,121.840996
231,89.85728
232,7.912969
233,18.01759
234,4.3590846
235,2.4632854
236,3.3588595
237,7.9426813
238,5.077775
239,8.304048
240,7.2133327
241,33.56785
242,4.3927827
243,34.91947
244,1.7050732
245,5.3899918
246,2.3005147
247,2.6480236
248,5.596273
249,5.6119967
250,38.70883
251,3.4635773
252,33.287823
253,5.994408
254,9.349575
255,4.4427814
256,10.092756
257,4.624909
258,4.633597
259,2.2644534
260,2.4580302
261,147.05775
262,4.852139
263,10.460547
264,3.2289
265,3.368267
266,5.0055137
267,2.8101125
268,3.132154
269,4.1654024
270,2.249436
271,1.9123446
272,2.4289947
273,10.64232
274,2.4080892
275,5.379548
276,4.935926
277,5.450114
278,3.9279838
279,2.3475146
280,5.594505
281,5.0690207
282,5.430308
283,8.484547
284,7.565104
285,2.202538
286,12.08673
287,2.7376986
288,8.661901
289,4.094341
290,2.330055
291,4.623661
292,20.213972
293,13.033805
294,34.15221
295,3.2342691
296,2.597917
297,3.8615718
298,2.7816305
299,3.331452
300,36.557335
301,9.684007
302,4.693424
303,22.58391
304,2.5922945
305,5.165009
306,2.565475
307,8.532896
308,8.027974
309,30.79293
310,19.262314
311,2.516848
312,119.62199
313,2.3259597
314,4.876765
315,52.858616
316,4.4322047
317,20.315601
318,3.4562488
319,9.355936
320,12.042149
321,2.1929464
322,12.73481
323,7.414875
324,16.596828
325,15.857556
326,19.865255
327,2.97472
328,5.6838617
329,15.854233
330,6.5570717
331,2.488811
332,6.3469157
333,12.244791
334,4.7117877
335,16.088596
336,5.2098026
337,6.605051
338,2.879757
339,4.823329
340,3.9075131
341,3.7744203
342,2.7833486
343,3.8749685
344,2.3277307
345,4.399644
346,2.045802
347,2.2251582
348,3.241562
349,2.3198745
350,1.9878384
351,3.6057315
352,6.9896474
353,7.3937764
354,4.9618673
355,4.5852537
356,3.3442154
357,3.7082806
358,2.2675838
359,5.4964805
360,5.2415333
361,3.0813704
362,6.7044487
363,32.79078
364,2.4300418
365,33.395996
366,4.677926
367,4.1707196
368,6.427769
369,2.8145804
370,7.665444
371,1.9770344
372,9.054285
373,2.4216237
374,2.500125
375,2.7576623
376,5.724749
377,3.8014722
378,4.176966
379,3.365961
380,4.303951
381,2.0453296
382,4.2087045
383,35.465885
384,2.6359496
385,2.7983856
386,3.8793283
387,9.550376
388,9.042354
389,5.9497876
390,3.1157851
391,2.7437687
392,3.2781801
393,5.8040295
394,3.557094
395,2.5542464
396,1.9770839
397,2.3155358
398,8.617721
399,4.456381
400,4.5015593
401,7.426948
402,15.691873
403,2.3557873
404,3.8150153
405,3.6748838
406,6.763795
407,1.7241755
408,3.4807878
409,1.8805469
410,2.2463627
411,5.9466157
412,5.63874
413,2.7415113
414,11.6822195
415,8.823562
416,14.08215
417,22.714878
418,20.278194
419,14.088442
420,4.2865524
421,5.576216
422,3.0413756
423,3.7155676
424,96.04815
425,6.433827
426,3.6621833
427,2.4689145
428,3.4243836
429,4.65856
430,6.4073687
431,3.4771166
432,3.9371471
433,6.0419044
434,6.637803
435,5.618099
436,11.206688
437,31.496159
438,2.2408895
439,1.9493703
440,12.927191
441,3.3312492
442,1.9758488
443,10.476959
444,106.800125
445,2.0636625
446,2.4308019
447,2.929741
448,2.0119884
449,3.1990757
450,3.0508013
451,4.380082
452,6.247385
453,12.366811
454,5.9927487
455,5.8128066
456,12.58866
457,18.68759
458,2.2374253
459,3.250143
460,23.214033
461,5.9329624
462,8.068093
463,3.6491318
464,6.8519435
465,6.483604
466,2.0207043
467,9.092797
468,7.8858924
469,45.948185
470,9.443677
471,11.039902
472,2.6785274
473,7.4583707
474,15.083391
475,13.117644
476,6.6174912
477,11.990296
478,2.7328148
479,3.2813106
480,33.29928
481,6.8524756
482,2.5933251
483,15.808502
484,2.4861035
485,8.906668
486,2.793982
487,3.4671583
488,13.067492
489,14.21443
490,4.885052
491,5.4181743
492,4.0641985
493,3.3209543
494,3.5741286
495,4.046747
496,4.4237432
497,52.89917
498,4.0132647
499,6.1155972
500,1.7710166
501,2.1459193
502,2.0967145
503,2.780795
504,2.4309397
505,2.7362509
506,3.0476832
507,2.7218132
508,11.974992
509,1.7693357
510,8.4455185
511,3.8150754
512,48.84956
513,5.954817
514,3.1214604
515,26.417189
516,5.1692753
517,2.7620125
518,7.662351
519,34.29308
520,2.7560167
521,7.0277343
522,2.6082373
523,12.058223
524,6.8161764
525,2.2859688
526,6.781621
527,4.409981
528,20.261889
529,3.038694
530,5.9975324
531,6.7248073
532,5.685729
533,4.406377
534,5.7140174
535,4.4349127
536,4.990055
537,2.4871764
538,2.4130611
539,4.141599
540,3.1152864
541,2.5423884
542,16.987034
543,2.7848687
544,2.772767
545,8.672824
546,12.508491
547,2.3875937
548,2.552442
549,4.3286357
550,1.8728644
551,10.962726
552,4.915776
553,13.478171
554,14.45316
555,2.750298
556,31.964884
557,3.6562343
558,38.73257
559,2.9182558
560,8.709603
561,3.039472
562,3.6899285
563,2.4574041
564,1.8953285
565,17.837057
566,2.8731313
567,2.931301
568,7.8883324
569,28.195446
570,5.1287003
571,11.67576
572,24.16801
573,3.4886422
574,2.1697025
575,2.1650732
576,38.81462
577,2.9777217
578,2.0909662
579,3.0506182
580,6.7749543
581,6.0085464
582,9.2203865
583,16.796946
584,2.0821862
585,89.8913
586,16.212608
587,3.8739014
588,174.7862
589,2.7243237
590,50.349785
591,11.196063
592,13.163871
593,3.2303782
594,4.603007
595,4.7268586
596,5.7971263
597,14.669762
598,21.240618
599,2.6100125
600,3.857121
601,4.8328347
602,2.2477674
603,2.0745454
604,2.8583064
605,4.061776
606,24.071638
607,156.65186
608,2.38759
609,4.5713496
610,2.8797612
611,2.0532818
612,17.616182
613,5.053051
614,3.1908636
615,4.6801357
616,5.467869
617,2.4683483
618,3.8527608
619,12.223454
620,5.0619264
621,65.98432
622,3.3401403
623,6.5659685
624,16.839947
625,2.421248
626,2.2617857
627,17.983606
628,7.7435617
629,7.623912
630,36.362694
631,2.5602179
632,9.066592
633,2.34045
634,31.002665
635,5.0909433
636,5.551092
637,122.4227
638,14.03599
639,4.7261033
640,7.0132523
641,4.8256884
642,8.916278
643,3.3761344
644,2.9535456
645,7.4222116
646,6.1600924
647,3.5980139
648,2.1496089
649,6.0597653
650,2.5635538
651,2.8597064
652,2.1171222
653,5.442303
654,2.7841358
655,3.272716
656,4.5043583
657,6.2289076
658,5.218783
659,6.382488
660,3.6583
661,6.147536
662,5.84807
663,87.904205
664,4.894665
665,13.6701
666,4.447884
